"Session Wednesday 30 September 2026 - 09:00-11:00 - Area 3 - Oral 3 - Multimodal Emotion Recognition","Paper ID ","Time ","Paper Title ","Presenting Author ","Abstract ","Authors ","Bio ","CN tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Poster","440","14:00-16:00","A Large-Scale Per-Speaker Analysis of Re-identification Risk in Speech Anonymization","Orane Dufour","Speech anonymization is commonly evaluated using average-case metrics such as the equal error rate, which can hide large disparities in re-identification risks across individuals. In this paper, we conduct a large-scale per-speaker privacy analysis using a linkability-based metric under a worst-case scenario. Nearly 5,000 speakers are evaluated across multiple anonymization systems, attacker architectures, and conversation lengths. While linkability scores are highly polarized at the speaker level, the sets of easy to re-identify and hard to re-identify speakers vary substantially across configurations. We show that no single factor explains speaker vulnerability. Instead, the re-identification risk emerges from the interaction between the attacker, the anonymizer, and the amount of available speech. These results challenge the notion of intrinsic speaker-level privacy risks and emphasize the need for evaluation protocols that are explicitly conditioned on the attacker and anonymizer.","Orane Dufour(Université de Lorraine); Paul Magron(Université de Lorraine); Mickael Rouvier(Avignon University); Emmanuel Vincent(Université de Lorraine)","","","","","","","","","","","","","","","","","","","",""
"Poster","437","14:00-16:00","Privacy-Preserving Speaker Verification with Multi-Granularity Feature Obfuscation","Hanseul Kim","To counter eavesdropping threats from recent advances in speech technology, this paper proposes a privacy-preserving speaker verification (SV) framework that protects both linguistic content and biometric identity. We leverage FAcodec to explicitly remove content-bearing information and selectively apply multi-granularity feature obfuscation to the remaining noncontent representations, preserving speaker-discriminative cues while discouraging faithful waveform reconstruction. Our results further indicate that ASR-based metrics such as Word Error Rate (WER) alone may not fully reflect perceptual privacy: even without content tokens, reconstructed speech can remain partially intelligible to listeners despite high WER. By substantially reducing perceptual intelligibility, our approach achieves an EER of 2.35% on VoxCeleb1-O, a 54.7% relative improvement over prior state-of-the-art methods, demonstrating a favorable balance between biometric utility and linguistic privacy.","Hanseul Kim(Chosun University); Nam In Park(National Forensic Service); Chanjun Chun(Chosun University; Glosori Inc.)","","","","","","","","","","","","","","","","","","","",""
"Poster","105","14:00-16:00","Imperceptible Voiceprint Protection via Human-Machine Perception Discrepancy Feature Disentanglement","Haotian Guo","The proliferation of zero-shot voice cloning models increases the risk of unauthorized speaker impersonation. Although adversarial perturbation provides an effective defense, existing methods face a fundamental trade-off: strong perturbations introduce audible artifacts, while imperceptible ones may lack robustness when transferred to unseen systems. We introduce a two-stage framework exploiting human-machine perception discrepancy. We first train a disentanglement network to separate content and speaker information, then inject perturbations into the speaker embedding space where machines are sensitive but humans are not. Experiments demonstrate that our approach achieves 87.2% defense success rate, surpassing state-of-the-art embedding-level defenses by 7%, while maintaining a high MOS of 4.18 and demonstrating strong transferability to black-box voice cloning systems.","Chenlong Xue(Army Engineering University of PLA); Meng Sun(Army Engineering University of PLA); Qiang Zhang(Army Engineering University of PLA); Xiongwei Zhang(Army Engineering University of PLA); Kunyuan Li(Army Engineering University of PLA); Yuan Liao(Chinese University of Hong Kong); Xiaoyi Ge(Information Support Force Engineering University); Kui Yao(Army Engineering University of PLA)","","","","","","","","","","","","","","","","","","","",""
"Poster","2458","14:00-16:00","Towards Privacy-Preserving ASR: Speaker-Level Machine Unlearning","Seaone Ok","Automatic Speech Recognition (ASR) systems are commonly designed to transcribe linguistic content independently of speaker identity. However, speaker-specific information can persist within the latent representations of ASR models, raising privacy concerns when training data includes sensitive individuals. While machine unlearning has been studied in several speech tasks, applying speaker unlearning to ASR remains challenging due to the strong entanglement of linguistic and speaker-related information in speech representations. In this work, we conduct a layer-wise analysis of Self-Supervised Learning (SSL) based ASR representations, revealing that speaker identity is primarily encoded in intermediate encoder layers. Based on this observation, we explore a feature-level unlearning strategy that targets these identity structures. Experiments on the VCTK corpus show that the proposed approach removes the influence of specific speakers while maintaining robust transcription performance.","Seaone Ok(Seoul National University); Seungu Han(Seoul National University); Eungbeom Kim(Seoul National University); Kyogu Lee(Seoul National University)","","","","","","","","","","","","","","","","","","","",""
"Poster","2944","14:00-16:00","NaVo: Natural Voice Protection against Voice Cloning Attacks via Generative Universal Adversarial Audio","Seoyoung Park","Proactive defense against voice cloning disrupts synthesis by injecting adversarial perturbations. However, prior methods rely on iterative optimization, often causing perceptual distortion and high latency that limit real-time deployment. We propose NaVo, a generative framework that produces natural-sounding universal adversarial audio. NaVo guides a latent diffusion–based text-to-audio model with fine-tuned low-rank adaptation modules tailored to gender and acoustic categories such as rain, music, and babble, enabling high-fidelity, speaker-independent adversarial audio generation. Unlike optimization-based approaches, NaVo supports real-time protection through simple audio mixing without gradient-based inference. It achieves a 76% defense success rate against a widely used commercial voice cloning system in a black-box setting. By jointly addressing universality, audio quality, and computational efficiency, NaVo offers a practical solution for proactive voice protection.","Seoyoung Park(Soongsil University); Seungmin Kim(Soongsil University); Sohee Park(Soongsil University); Dain Kim(Soongsil University); Thien An Nguyen(Soongsil University); Thien-Phuc Doan(Soongsil University); Souhwan Jung(Soongsil University); Daeseon Choi(Soongsil University)","","","","","","","","","","","","","","","","","","","",""
"Poster","3094","14:00-16:00","DAST: A Dual-Stream Voice Anonymization Attacker with Staged Training","Ridwan Arefeen","Voice anonymization masks vocal traits while preserving linguistic content, which may still leak speaker-specific patterns. To assess and strengthen privacy evaluation, we propose a dual-stream attacker that fuses spectral and self-supervised learning features via parallel encoders with a three-stage training strategy. Stage I establishes foundational speaker-discriminative representations. Stage II leverages the shared identity-transformation characteristics of voice conversion and anonymization, exposing the model to diverse converted speech to build cross-system robustness. Stage III provides lightweight adaptation to target anonymized data. Results on the VoicePrivacy Attacker Challenge (VPAC) dataset demonstrate that Stage II is the primary driver of generalization, enabling strong attacking performance on unseen anonymization datasets. With Stage III, fine-tuning on only 10% of the target anonymization dataset surpasses current state-of-the-art attackers in terms of EER.1 .","Ridwan Arefeen(Singapore Institute of Technology); Xiaoxiao Miao(Duke Kunshan University); Rong Tong(Singapore Institute of Technology); Timothy Liu(NVIDIA AI Technology Centre); Aik Beng Ng(NVIDIA AI Technology Centre); Simon See(NVIDIA AI Technology Centre)","","","","","","","","","","","","","","","","","","","",""
"Wednesday 30 September 2026 - 14:00-16:00 - Area 6 - Poster 7 - Active Noise and Echo Control, Sound Zones and Packet-Loss Concealment","","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","2170","14:00-16:00","Carrier-Aware Sound Zone Control for Parametric Array Loudspeakers","Mengtong Li","Parametric array loudspeakers (PALs) exploit ultrasonic carrier and nonlinear self-demodulation to generate directional speech and audio sound, offering advantages for spatial audio reproduction. While recent work extends linear-acoustic sound zone control (SZC) to PAL arrays by optimizing sideband excitations and achieves high acoustic contrast (AC), the carrier--essential for demodulation--remains unexplored as a control variable. We propose a carrier-aware SZC framework for PALs, treating the carrier as a new control dimension, with an alternating optimization for sideband and carrier weights. Simulations and experiments show that our method outperforms sideband-only control, yielding higher AC and demodulation efficiency. In experiments, broadband gains of 11.2 dB in AC and 7.0 dB in target-zone SPL are achieved under identical power constraints. The results establish the carrier as a key control variable for more efficient, high-performance spatial audio and speech rendering with PALs.","Mengtong Li(Nanjing University); Tao Zhuang(Nanjing University); Yu Sun(Samsung Electronics (China)); Shaozhe Li(Nanjing University); Xuxiang Wu(Nanjing University); Jia-Xin Zhong(Nanjing University); Jing Lu(Nanjing University; Horizon Robotics)","","","","","","","","","","","","","","","","","","","",""
"Poster","122","14:00-16:00","A Sparsity-Aware Robust Nonlinear Active Noise Control for Impulsive Noise Environments","Liming Shi","Functional link network (FLN) based active noise control (ANC) alogorithms offer strong nonlinear modeling capabilities but inevitably introduce redundant basis functions during expansion, leading to inefficient adaptation and degraded steady-state performance. To improve the performance, we propose a sparsity-aware robust nonlinear ANC algorithm that incorporates a reweighted zero-attracting (RZA) regularization term into the minimum-output-variance constrained filtered-s least mean p-power (MOV-FsLMP) framework. This mechanism acts as an online feature selector, effectively suppressing redundant coefficients induced by FLN expansion while preserving the inherent robustness against impulsive disturbances. Extensive simulations under α-state impulsive noise conditions demonstrate that the proposed algorithm consistently outperforms the conventional MOV-FsLMP, achieving a 1-2 dB improvement in steady-state mean square error (MSE) and a higher active noise reduction (ANR) under identical configurations, validating its practical effectiveness for nonlinear ANC applications.","Hengwei Xu(Chongqing University of Posts and Telecommunications); Hongqing Liu(Chongqing University of Posts and Telecommunications); Liming Shi(Chongqing University of Posts and Telecommunications); Lu Gan(Brunel University)","","","","","","","","","","","","","","","","","","","",""
"Poster","182","14:00-16:00","NCPSZ: A Nonlinear Control Network for Miniature Loudspeakers in Personal Sound Zone Applications","Liming Shi","In personal sound zone (PSZ) systems, linear control methods suffer from significant performance degradation on devices with miniature loudspeakers due to severe nonlinear distortion (NLD). To overcome this limitation, we propose a nonlinear control network for PSZ (NCPSZ), a data-driven framework tailored for sound leakage prevention. We introduce an asymmetric dual-network architecture: a high-fidelity modeling network (ModelNet) characterizes the loudspeaker's nonlinear behavior offline, which supervises a lightweight, causal control network (CtrlNet) for real-time operation. Crucially, we employ an &quot;anchor speaker&quot; strategy, where the primary earpiece speaker maintains the target sound pressure in the bright zone (BZ), while the CtrlNet optimizes assisting speakers to actively cancel nonlinear leakage in the dark zone (DZ). Validated in a realistic smartphone leakage-prevention task, NCPSZ achieves a consistent acoustic contrast (AC) improvement of 3.78 dB over the linear VAST baseline and 1.80 dB over a parameter-matched causal CNN, demonstrating effective privacy protection under nonlinear regimes.","Chen Gong(Chongqing University of Posts and Telecommunications); Lei Zhou(Chongqing University of Posts and Telecommunications); Chen Huang(Chongqing University of Posts and Telecommunications); Hongqing Liu(Chongqing University of Posts and Telecommunications); Liming Shi(Chongqing University of Posts and Telecommunications); Lu Gan(Brunel University)","","","","","","","","","","","","","","","","","","","",""
"Poster","191","14:00-16:00","LMPAN: A Lightweight Multi-Path Alignment Network for Joint Full-Duplex Acoustic Echo Cancellation and Noise Suppression","Chengwei Liu","We propose a lightweight multi-path alignment network (LMPAN) for on-device joint acoustic echo cancellation (AEC) and noise suppression (NS) in full-duplex spoken dialogue systems. To address hardware-induced distortions and dynamic acoustic conditions, we introduce three core innovations: (1) a multi-path alignment stage correcting temporal and energy mismatches across reference, linear AEC (LAEC) output, and microphone signals; (2) an attention-based mechanism that dynamically integrates enhanced LAEC and microphone features under varying acoustic scenarios; (3) a post-filtering module with a dynamic target generation strategy for downstream tasks (ASR, VAD). Furthermore, we adopt a two-stage training framework leveraging self-supervised learning representations to enhance perceptual quality. Experiments show that LMPAN, with only 480K parameters and 126 MACs, achieves performance comparable to the state-of-the-art lightweight model DeepVQE-S, while ensuring real-time inference capability.","Chengwei Liu(Alibaba); Shaofei Xue(Alibaba); Haoyin Yan(Alibaba); Xiaotao Liang(Alibaba); Zheng Xue(Qwen Business Unit of Alibaba)","","","","","","","","","","","","","","","","","","","",""
"Poster","222","14:00-16:00","Active Constructive Interference for Speech","Ofir Yaish","We introduce a new paradigm for active sound modification: Active Speech Enhancement (ASE). While Active Noise Cancellation (ANC) algorithms focus on suppressing external interference and traditional speech enhancement passively reconstructs degraded speech signals, ASE goes further by actively shaping the speech signal, both attenuating distortions and amplifying speech-relevant frequencies to improve intelligibility and perceptual quality. To enable this, we propose a novel Transformer-Mamba-based architecture, along with a task-specific loss function that jointly optimizes interference suppression and signal enrichment in an acoustic environment. Our method outperforms existing baselines across multiple speech processing tasks, including denoising, dereverberation, and declipping, demonstrating the effectiveness of active, targeted modulation in challenging acoustic environments. A demo and code are publicly available at github.com/ofiryaish/ASE-TM.","Ofir Yaish(Ben-Gurion University of the Negev); Yehuda Mishaly(Tel Aviv University); Eliya Nachmani(Ben-Gurion University of the Negev)","","","","","","","","","","","","","","","","","","","",""
"Poster","271","14:00-16:00","Predictive Directional Selective Fixed-Filter Active Noise Control for Moving Sources via a Convolutional Recurrent Neural Network","Boxiang Wang","Directional Selective Fixed-Filter Active Noise Control (D-SFANC) can effectively attenuate noise from different directions by selecting the suitable pre-trained control filter based on the Direction-of-Arrival (DoA) of the current noise. However, this method is weak at tracking the direction variations of non-stationary noise, such as that from a moving source. Therefore, this work proposes a Predictive Directional SFANC (PD-SFANC) method that uses a Convolutional Recurrent Neural Network (CRNN) to capture the hidden temporal dynamics of the moving noise and predict the control filter to cancel future noise. Accordingly, the proposed method can significantly improve its noise-tracking ability and dynamic noise-reduction performance. Furthermore, numerical simulations confirm the superiority of the proposed method for handling moving sources across various movement scenarios, compared to several representative ANC baselines.","Boxiang Wang(Nanyang Technological University); Zhengding Luo(Nanyang Technological University); Dongyuan Shi(Northwestern Polytechnical University); Junwei Ji(Nanyang Technological University); Xiruo Su(Northwestern Polytechnical University); Woon-Seng Gan(Nanyang Technological University)","","","","","","","","","","","","","","","","","","","",""
"Poster","1295","14:00-16:00","DDSN: A Physics-Aware Decoupled Dual-Stream Network for Speech Packet Loss Concealment","Hao Tian","Packet loss concealment (PLC) restores high-fidelity speech from impaired signals in real-time communication. Existing frequency-domain methods typically process real and imaginary spectra jointly. This coupled modeling overlooks the distinct wrapped phase and magnitude characteristics, causing phase misalignment and structural artifacts. We propose a Wrapped-Phase-Aware Decoupled Dual-Stream Network (DDSN) that explicitly separates magnitude and phase modeling. Using independent streams, DDSN adapts to the specific characteristics of spectral energy and temporal alignment. To facilitate interaction, our Scaled Asymmetric Residual Guidance (SARG) mechanism uses magnitude priors to guide phase reconstruction. A manifold-constrained trigonometric representation maintains the topological consistency of the phase. Experimental results demonstrate DDSN performs favorably against established baselines, maintaining stable reconstruction during long burst losses.","Hao Tian(Beijing University of Posts and Telecommunications); Yonghui Liu(Fanvil Link Technology Co., Ltd); Jianbing Liu(Fanvil Link Technology Co., Ltd); Kai Niu(Beijing University of Posts and Telecommunications); Zhiqiang He(Beijing University of Posts and Telecommunications)","","","","","","","","","","","","","","","","","","","",""
"Poster","1608","14:00-16:00","A Causal Reference-Enhanced Keep-Speech Active Noise Control Method","Li Rao","This paper proposes a causal, low-latency reference-enhanced keep-speech active noise control (KSANC) method, in which a deep neural network is used to enhance the reference signal by suppressing speech components while retaining noise. As a result, speech components in the error signal can be effectively preserved after control. The proposed method is validated through experiments using measured headphone impulse responses. The results demonstrate that the proposed approach improves speech intelligibility and speech quality in noisy conversational scenarios for headphone applications, compared with all baselines. Moreover, the method exhibits robustness to different speech signals and directions, noise types and directions, as well as varying signal-to-noise ratios. Listening examples are available at https://github.com/RaoLi666/RSE_KSANC.git.","Li Rao(Nanjing University); Xiaobin Rong(Nanjing University; Nanjing Institute of Advanced AI); Yu Sun(Samsung Electronics (China)); Yiming He(Nanjing University); Kai Chen(Nanjing University); Haishan Zou(Nanjing University); Jing Lu(Nanjing University; Nanjing Institute of Advanced AI)","","","","","","","","","","","","","","","","","","","",""
"Poster","2202","14:00-16:00","Active Noise Control With a Gain Constraint for Micro-Loudspeakers","Liming Shi","The fixed-filter methods are widely employed in active noise control (ANC) systems due to their computational efficiency. They are typically designed to minimize the mean squared sound pressure at the error microphone, thereby attenuating disturbance components across the entire frequency spectrum. Due to the limited low-frequency reproduction capability of micro loudspeakers, this approach is prone to causing mechanical over-excursion. One solution is to cascade a high-pass filter before or after the control filter to limit the power of the output signal. But the group delay introduced by this filter increases the electronic latency. This paper proposes an ANC method with frequency-response gain constraints, where gain constraints are imposed on both the low-frequency range and the target noise reduction (NR) frequency range of the control filter's frequency response. Simulation and experimental results confirm the effectiveness of our proposed method in terms of NR performance.","Zhenhua Cheng(Chongqing University of Posts and Telecommunications); Yi Zhou(Chongqing University of Posts and Telecommunications); Yin Liu(Chongqing University of Posts and Telecommunications); Yu Zhao(Chongqing University of Posts and Telecommunications); Liming Shi(Chongqing University of Posts and Telecommunications)","","","","","","","","","","","","","","","","","","","",""
"Poster","2337","14:00-16:00","DiffVQE: Hybrid Diffusion Voice Quality Enhancement Under Acoustic Echo and Noise","Haljan Lugo","Acoustic echo and background noise pose challenges on speech enhancement in hands-free systems and speakerphones. Discriminatively trained end-to-end methods represent a powerful solution for joint acoustic echo control (AEC) and denoising. However, with the advent of generative methods, diffusion-based approaches have seen remarkable performance in speech enhancement tasks. In this work, to the best of our knowledge, we provide the first (still non-causal) diffusion-based AEC model (DiffVQE) that is reproducible in terms of topology, training data, and training framework. So far, without employing diffusion, Microsoft's discriminative DeepVQE model has been shown to excel any of the ICASSP 2023 AEC Challenge entries achieving remarkable performance. Using data from the Interspeech 2025 URGENT Challenge for a diverse, high-quality training dataset, our DiffVQE excels DeepVQE both in echo and noise control performance, as well as in computational complexity and model size.","Haljan Lugo(Technische Universität Braunschweig); Ernst Seidel(Technische Universität Braunschweig); Pejman Mowlaee(GN Advanced Science); Ziyue Zhao(GN Advanced Science); Tim Fingscheidt(Technische Universität Braunschweig)","","","","","","","","","","","","","","","","","","","",""
"Wednesday 30 September 2026 - 14:00-16:00 - Area 7 - Poster 5 - Streaming Speech Synthesis","","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","3393","14:00-16:00","HybridCodec: Fast Dual-Stream, Semantically Enhanced Neural Audio Codec","Arjun Gangwar","The popularity of neural audio codecs as speech tokenizers has surged with the advent of Multimodal Large Language Models. New codec architectures with semantic and acoustic disentanglement have emerged. There are two main approaches to introduce semantic information into codec models: one distills semantic information from SSL representations into the first RVQ layer, while the other maintains separate streams for semantic and acoustic features. We propose HybridCodec, a unified architecture that combines both paradigms. It employs separate semantic and acoustic branches while distilling SSL representations into the semantic stream. This design ensures strong disentanglement without requiring an SSL model during inference. HybridCodec shows superior semantic specialization (RVQ-1) on in-domain test set and competitive reconstruction (RVQ-all). We demonstrate its robustness in out-of-domain and zero-shot cross-lingual settings, achieving a 3x speedup over existing dual-stream models.","Arjun Gangwar(Indian Institute of Technology); S Umesh(Indian Institute of Technology)","","","","","","","","","","","","","","","","","","","",""
"Poster","2803","14:00-16:00","WavSLM: Single-Stream Speech Language Modeling via WavLM Distillation","Luca Della Libera","Large language models show that simple autoregressive training can yield scalable and coherent generation, but extending this paradigm to speech remains challenging due to the entanglement of semantic and acoustic information. Most existing speech language models rely on text supervision, hierarchical token streams, or complex hybrid architectures, departing from the single-stream generative pretraining paradigm that has proven effective in text. In this work, we introduce WavSLM, a speech language model trained by quantizing and distilling self-supervised WavLM representations into a single codebook and optimizing an autoregressive next-chunk prediction objective. WavSLM jointly models semantic and acoustic information within a single token stream without text supervision or text pretraining. Despite its simplicity, it achieves competitive performance on consistency benchmarks and speech generation while using fewer parameters, less training data, and supporting streaming inference.","Luca Della Libera(Concordia University; Mila-Quebec AI Institute); Cem Subakan(Universite Laval; Concordia University; Mila-Quebec AI Institute); Mirco Ravanelli(Concordia University; Mila-Quebec AI Institute)","","","","","","","","","","","","","","","","","","","",""
"Poster","2763","14:00-16:00","VOSSA: Voiceprint Optimization for Streaming Speech Architectures","Mu-Ruei Tseng","Real-time voice conversion (VC) systems commonly rely on pretrained speaker embeddings from automatic speaker verification (ASV) models. While effective for speaker discrimination, these embeddings are trained to remain stable across phonetic and prosodic variations within-speaker, which may conflict with frame-level acoustic generation in streaming constraints. To address this issue, we propose VOSSA (Voiceprint Optimization for Streaming Speech Architectures), a speaker representation framework that extracts speaker information from intermediate content encoder layers and aggregates using attentive statistics pooling. The embedding is trained jointly with VC objectives, removing the need for a separate speaker encoder. Across six datasets, VOSSA improves F0 dynamics and vowel-discriminative acoustic cues while maintaining comparable NISQA-MOS, WER, and speaker similarity. Perceptual tests further indicate improvements in naturalness, speaker similarity, intelligibility, and vibrancy.","Mu-Ruei Tseng(Texas A&M University); Waris Quamer(Texas A&M University); Ghady Nasrallah(Texas A&M University); Ricardo Gutierrez-Osuna(Texas A&M University)","","","","","","","","","","","","","","","","","","","",""
"Poster","1961","14:00-16:00","MeanVC 2: Robust Low-Latency Streaming Zero-Shot Voice Conversion","Guobin Ma","Streaming zero-shot voice conversion (VC) has become increasingly popular due to its potential for real-time applications. The recently proposed MeanVC achieves lightweight streaming zero-shot VC, but it has several limitations: its chunkwise autoregressive denoising doubles the effective training sequence length, conversion quality degrades under small-chunk settings, and its timbre encoder directly relies on reference melspectrograms, making it sensitive to reference audio quality. To address these limitations we propose MeanVC 2. We introduce future-receptive chunking (FRC), which explicitly schedules past and future receptive fields across diffusion transformer decoder layers and removes clean-chunk teacher forcing. By incorporating bounded future context, FRC enables stable conversion with a 40 ms chunk size. We further introduce a universal timbre token encoder, which constructs a timbre representation from a global speaker embedding and retrieves fine-grained timbre cues via cross-attention, improving robustness to low-quality references and enhancing zero-shot speaker similarity. Experimental results show that MeanVC 2 significantly outperforms MeanVC, while reducing latency from 211 ms to 110 ms. Audio samples are publicly available. The source code will be publicly released.","Guobin Ma(Northwestern Polytechnical University); Yuxuan Xia(Northwestern Polytechnical University); Yuepeng Jiang(Northwestern Polytechnical University); Dake Guo(Northwestern Polytechnical University); Hanke Xie(Northwestern Polytechnical University); Jingbin Hu(Northwestern Polytechnical University); Yanbo Wang(The University of New South Wales); Lei Xie(Northwestern Polytechnical University); Pengcheng Zhu(WeNet Open Source Community)","","","","","","","","","","","","","","","","","","","",""
"Poster","1692","14:00-16:00","FlashTTS: Fast Streaming TTS with MTP Acceleration and X-pred Mean Flow Distillation","Hanke Xie","Recent progress in speech dialogue systems requires text-to-Speech (TTS) models to be faster and more responsive. Modern speech dialogue systems impose two primary requirements on TTS models: low latency and support for streaming inputs and outputs. However, most existing single-codebook LLM-based TTS methods rely on multi-stage pipelines that lack native streaming capabilities. These systems typically suffer from high end-to-end latency due to slow autoregressive prediction and multi-step flow matching. To address these limitations, we propose FlashTTS, an open-source and low-latency streaming TTS framework. FlashTTS introduces a lagged multi-track architecture that natively processes streaming text and speech inputs, thereby eliminating the need for sentence-level buffering. To accelerate acoustic generation, we integrate parallel Multi-Token Prediction (MTP) with an X-pred mean flow matching decoder. This configuration achieves high-fidelity token-to-mel generation in exactly two function evaluations (2-NFE). By jointly optimizing input processing and decoding efficiency, FlashTTS offers a practical foundation for real-time speech dialogue systems. Experiments show that FlashTTS substantially reduces First-Packet Latency to 325ms compared to robust streaming baselines, all while preserving strong zero-shot voice cloning and cross-lingual intelligibility. Speech samples are available. The model code and checkpoints will be released as open source.","Hanke Xie(Northwestern Polytech. Univ.); Xiaming Ren(Northwestern Polytech. Univ.); Dake Guo(Northwestern Polytech. Univ.); Ruonan You(Northwestern Polytech. Univ.); Wenhao Li(Northwestern Polytech. Univ.); Jingbin Hu(Northwestern Polytech. Univ.); Guobin Ma(Northwestern Polytech. Univ.); Huakang Chen(Northwestern Polytech. Univ.); Kejie Xu(Huawei); Rui Huang(Huawei); Weiguo Tan(Huawei); Xianrong Wang(Huawei); Lei Xie(Northwestern Polytech. Univ.)","","","","","","","","","","","","","","","","","","","",""
"Poster","1192","14:00-16:00","Prosodic Boundary-Aware Streaming Generation for LLM-Based TTS with Streaming Text Input","Changsong Liu","Streaming TTS that receives streaming text is essential for interactive systems, yet this scheme faces two major challenges: unnatural prosody due to missing lookahead and long-form collapse due to unbounded context. We propose a prosodic-boundary-aware post-training strategy, adapting a pre-trained LLM-based TTS model using weakly time-aligned data. Specifically, the model is adapted to learn early stopping at specified content boundaries when provided with limited future text. During inference, a sliding-window prompt carries forward previous text and speech tokens, ensuring bounded context and seamless concatenation. Evaluations show our method outperforms CosyVoice-Style interleaved baseline in both short and long-form scenarios. In long-text synthesis, especially, it achieves a 66.2% absolute reduction in word error rate (from 71.0% to 4.8%) and increases speaker and emotion similarity by 16.1% and 1.5% relatively, offering a robust solution for streaming TTS with incremental text.","Changsong Liu(Nanyang Technological University); Tianrui Wang(Nanyang Technological University; Tianjin University); Ye Ni(Nanyang Technological University; Southeast University); Yizhou Peng(Nanyang Technological University); Eng Siong Chng(Nanyang Technological University)","","","","","","","","","","","","","","","","","","","",""
"Poster","653","14:00-16:00","CTC-TTS: LLM-Based Dual-Streaming Text-to-Speech with CTC Alignment","Zhijian Ou","Large-language-model (LLM)-based text-to-speech (TTS) systems can generate natural speech, but most are not designed for low-latency dual-streaming synthesis. High-quality dual-streaming TTS depends on accurate text-speech alignment and well-designed training sequences that balance synthesis quality and latency. Prior work often relies on GMM-HMM based forced-alignment toolkits (e.g., MFA), which are pipeline-heavy and less flexible than neural aligners; fixed-ratio interleaving of text and speech tokens struggles to capture text-speech alignment regularities. We propose CTC-TTS, which replaces MFA with a CTC based aligner and introduces a bi-word based interleaving strategy. Two variants are designed: CTC-TTS-L (token concatenation along the sequence length) for higher quality and CTC-TTS-F (feature-dimension embedding stacking) for lower latency. Experiments show that CTC-TTS outperforms fixed-ratio interleaving and MFA-based baselines on streaming synthesis and zero-shot tasks.","Hanwen Liu(Xinjiang University); Saierdaer Yusuyin(Xinjiang University); Hao Huang(Xinjiang University); Zhijian Ou(Tsinghua University)","","","","","","","","","","","","","","","","","","","",""
"Poster","248","14:00-16:00","PF-D2M: A Pose-free Diffusion Model for Universal Dance-to-Music Generation","Jaekwon Im","Dance-to-music generation aims to generate music that is aligned with dance movements. Existing approaches typically rely on body motion features extracted from a single human dancer and limited dance-to-music datasets, which restrict their performance and applicability to real-world scenarios involving multiple dancers and non-human dancers. In this paper, we propose PF-D2M, a universal diffusion-based dance-to-music generation model that incorporates visual features extracted from dance videos. PF-D2M is trained with a progressive training strategy that effectively addresses data scarcity and generalization challenges. Both objective and subjective evaluations show that PF-D2M achieves state-of-the-art performance in dance-music alignment and music quality. Samples of PF-D2M are available at https://jakeoneijk.github.io/pfd2m_project","Jaekwon Im(KAIST); Natalia Polouliakh(Sony CSL Tokyo); Taketo Akama(Sony CSL Tokyo)","","","","","","","","","","","","","","","","","","","",""
"Poster","235","14:00-16:00","Streaming T5-based Text-to-Speech Synthesis with Limited Lookahead","Muyang Du","Streaming text-to-speech synthesis in cascaded LLM-TTS systems still faces latency challenges as most TTS models require full context before initiating generation. We present S5-TTS, a Streaming variant of T5-TTS that enables low-latency, word-by-word incremental speech synthesis through encoder-decoder language modeling and monotonic alignment learning. S5-TTS begins generating speech immediately after receiving the first few words, substantially reducing end-to-end response latency. To maintain quality under limited lookahead, we introduce a lookahead-causal masking mechanism with Conv-based auxiliary attention that preserves intelligibility and speaker similarity, and employ interleaved multi-source distillation to further restore naturalness. Experiments show that S5-TTS achieves comparable quality to full-context T5-TTS, supports zero-shot synthesis with high speaker similarity, and significantly reduces end-to-end latency for practical conversational AI systems.","Muyang Du(NVIDIA, China); Jason Roche(NVIDIA, USA); Junjie Lai(NVIDIA, China)","","","","","","","","","","","","","","","","","","","",""
"Wednesday 30 September 2026 - 14:00-16:00 - Area 12 - Poster 1 - Multilingual Speech 2","","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","1323","14:00-16:00","Learning to Wait: Real Streaming Speech-to-Text Translation with an LLM","Rogier van Dalen","A streaming speech-to-text translation system outputs tokens as the audio comes in. The state of the art for streaming speech translation with an LLM is Bestow. Bestow's wait policy is fixed: it outputs tokens at a fixed cadence irrespective of the contents of the audio. On a test set, it often seems to perform well, but not in the real world. If no speech is heard immediately after the microphone is opened, then the fixed policy will force tokens out and produce hallucinations; if the speaker speaks fast, the system will fall behind. This paper instead proposes a wait policy that learns when to wait for more audio and when to emit tokens. On a test set, the model that uses this policy achieve better quality and/or better latency. Moreover, it is not susceptible to hallucinations for real-world data.","Shucong Zhang(Samsung, AI Center-Cambridge); Titouan Parcollet(Samsung, AI Center-Cambridge); Rogier van Dalen(Samsung, AI Center-Cambridge)","","","","","","","","","","","","","","","","","","","",""
